,created_at,sentiment,text
0,Tue Nov 13 06:29:36 +0000 2018,0.0,@CBJOHNSON143 @bluejoni @carmen_g_gregg @OhioDataDan @Midwesterner196 @BalseyIs @mattgaetz Jeffrey epstein will sti… https://t.co/HqLoTd5l5R
1,Tue Nov 13 06:29:36 +0000 2018,0.0,Trump defended me! https://t.co/UpchCYknYi https://t.co/Mgw5JLNSge
2,Tue Nov 13 06:29:36 +0000 2018,0.0,How sway???? https://t.co/RBGK47iQfi
3,Tue Nov 13 06:29:35 +0000 2018,0.7,@CharperLynne @GOP @realDonaldTrump Even Trump's own election fraud task force has found zero evidence of voter fraud lol.
4,Tue Nov 13 06:29:34 +0000 2018,0.1,@LouT27 @TLo7154 @SoSofieFatale @decman52 Mueller has bigger balls than any trump supporter. Its going to be fun wa… https://t.co/ovnaSWOb62
5,Tue Nov 13 06:29:33 +0000 2018,0.0,"Massive News &amp; all will be revealed soon.*
Anytime is #MuellerTime &amp; every day is #Mueller Friday!!

*as I've alway… https://t.co/OEAJjkwr0j"
6,Tue Nov 13 06:29:33 +0000 2018,0.0,Opinion | Trump is cracking https://t.co/YQy3BgF7sK
7,Tue Nov 13 06:29:31 +0000 2018,0.0,This is where Trump (and Brexit) are taking us. They both need to be stopped. https://t.co/CfBwg0Vy4J
8,Tue Nov 13 06:29:31 +0000 2018,-0.2,Hey @seanhannity Where’s your outrage asshole? Trump dumps on US by doing nothing for OUR DEAD WW1 Vets in France l… https://t.co/H1JBH6AY0W
9,Tue Nov 13 06:29:31 +0000 2018,0.1,New lawsuit accuses Trump and 3 of his children of conning 'thousands' of people in marketing ploy https://t.co/svB1EBRjyi
10,Tue Nov 13 06:29:29 +0000 2018,0.3,#Trump is not interested with rest of the world. He wants #America a great #US standing with his strong #Ally… https://t.co/cSbingwPzG
11,Tue Nov 13 06:29:29 +0000 2018,0.5,Now available! Donald Trump USA fantastic Low-T therapy gel  #russiagate
12,Tue Nov 13 06:29:28 +0000 2018,0.3,@sujilu @katelovesneuro @20committee @aprilaser @lauferlaw @docrocktex26 Trump should be handling this!! Absolutely unacceptable!!
13,Tue Nov 13 06:29:25 +0000 2018,0.5,"@EdKrassen @realDonaldTrump @realDonaldTrump 

BOOM! Trump's latest Gallup Poll Approval Ratings: 
- 38% Approve 
- 56% Disapprove"
14,Tue Nov 13 06:29:25 +0000 2018,0.7,@TiffanyA_MAGA I would think that Aussies would have a love for Trump lol.
15,Tue Nov 13 06:29:25 +0000 2018,-0.1,"Trump warns House Dems against 'war-like' posture in boastful, bitter remarks https://t.co/EHA0IaRL63 vía @politico"
16,Tue Nov 13 06:29:24 +0000 2018,0.0,Donald Trump Is Attacking the Florida Recounts Because He Hates Democracy via @thenation https://t.co/jL9PDz5t9k
17,Tue Nov 13 06:29:23 +0000 2018,-0.3,"@jujurope @ShepRose Bet* I meant to say. 😬 I mean I don’t support those who support him, cause to me what is the di… https://t.co/xx4bs8tYFx"
18,Tue Nov 13 06:29:23 +0000 2018,0.2,"@PhilipRucker To be honest, I think Trump's future in this administration is even shakier. Something big is about t… https://t.co/UT9pg98zyR"
19,Tue Nov 13 06:29:21 +0000 2018,0.0,@mrshellwinger @VABVOX @HillaryClinton @HumaAbedin @JanelleMonae *nods* She is blessed and thriving and Trump is be… https://t.co/9Kt2BJ1CjN
20,Tue Nov 13 06:29:21 +0000 2018,0.0,Trump Waives Iran Sanctions for Turkey https://t.co/57nfLixKpY
21,Tue Nov 13 06:29:21 +0000 2018,0.0,Italian summit on Libya in disarray as Trump and Putin stay away https://t.co/6ScOGigkK6
22,Tue Nov 13 06:29:21 +0000 2018,0.0,@Futaleufufufu @mikes_booh @cookietpa @crlulukat @VAL_MAYNARD @counterchekist All day I was praying trump was packi… https://t.co/M73k91q5XF
23,Tue Nov 13 06:29:20 +0000 2018,0.4,"“White nationalists celebrate midterms as a win”

#Nationalism #Nationalist #Racism #WhiteSupremacy #Trump… https://t.co/BB4fEjNgHF"
24,Tue Nov 13 06:29:19 +0000 2018,0.0,"@hutchinson The point is that, if you utterly barricade yourself away from any ideas you deem unworthy, you miss wh… https://t.co/ccUzzvntLF"
25,Tue Nov 13 06:29:19 +0000 2018,0.0,@john_sipher @davidfrum @Zigmanfreud There are benefits beyond getting Trump out of office.  If the evidence is sol… https://t.co/95racpsXwt
26,Tue Nov 13 06:29:18 +0000 2018,-0.3,"@rae_ritzel @TheRickyDavila Now ain’t that a surprise? 
State— I mean, Trump— I mean, Fox News “giving the embrace”… https://t.co/Ljt8c8CB7r"
27,Tue Nov 13 06:29:18 +0000 2018,0.0,"Trump, Pence miss Veterans Day observance at Arlington Cemetery https://t.co/bdNN7xj7LY"
28,Tue Nov 13 06:29:18 +0000 2018,0.5,@goble_steph @Kellie2727Paula @realDonaldTrump U.S. Bordering countries like Canada or Mexico shouldn't have more p… https://t.co/33aF2yw4TA
29,Tue Nov 13 06:29:14 +0000 2018,0.0,"People, families burned to death in their cars trying to escape the fires of California, but where does Trump's min… https://t.co/sqwhsBrJgP"
30,Tue Nov 13 06:29:14 +0000 2018,0.0,TRUMP VS THE GLOBALIST INVASION https://t.co/u9rLqrjUjn via @YouTube
31,Tue Nov 13 06:29:12 +0000 2018,0.0,"@Need2BUsed @J_WilliamsAZ @clemsadelphia @MinnesotaLuke @KateGreen72 @MarthaMcSally @kyrstensinema Well, to be fair… https://t.co/k9uriKMAGI"
32,Tue Nov 13 06:29:12 +0000 2018,0.0,"@officialmcafee @Mark1Houston @jrhennessy I agree, just ask Donald trump"
33,Tue Nov 13 06:29:12 +0000 2018,0.1,Weekly Update --- President Trump’s Iran Policy – Is It ‘Normal’? https://t.co/OZoGrwQqzC via @YouTube
